Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Motion_Detected
173,2022-04-19 19:50:38.382628,-7.551279523607841,114.08142622477924,35.1336,28.9671,1005.8049,False
174,2022-04-19 19:50:42.452334,-7.344775423882427,114.23034919264965,34.9914,29.2058,1005.8008,False
175,2022-04-19 19:50:46.524810,-7.138153337648161,114.37915918816311,35.1336,29.3098,1005.8198,False
176,2022-04-19 19:50:50.552810,-6.933685968564621,114.52622814506513,35.1158,28.8876,1005.8301,False
177,2022-04-19 19:50:54.622396,-6.726999455565081,114.67470785667864,35.0447,29.163,1005.8022,False
178,2022-04-19 19:50:58.686744,-6.520564370312215,114.82282670687702,35.1158,29.1262,1005.8521,False
179,2022-04-19 19:51:02.714770,-6.315953768483264,114.96946446502844,35.0447,29.2394,1005.8333,False
180,2022-04-19 19:51:06.743981,-6.111185113248836,115.11604972452821,35.1336,29.0895,1005.8411,True
181,2022-04-19 19:51:10.776219,-5.906214340218648,115.2626192369552,35.0803,29.0834,1005.8381,False
182,2022-04-19 19:51:14.804887,-5.701385501852551,115.40893252676453,35.0625,29.319,1005.8286,False
183,2022-04-19 19:51:18.831128,-5.496545266993937,115.55510486221816,35.0625,29.0956,1005.8359,False
184,2022-04-19 19:51:22.903327,-5.289440343605461,115.70274736159836,35.0092,29.1354,1005.8262,False
185,2022-04-19 19:51:26.932642,-5.084416832365198,115.84876715640127,35.0447,29.2088,1005.8306,False
186,2022-04-19 19:51:30.999596,-4.877378873771921,115.99608708403345,35.0447,29.1018,1005.8354,False
187,2022-04-19 19:51:35.028254,-4.67234477372888,116.14185343090708,35.1158,28.9549,1005.8179,False
188,2022-04-19 19:51:39.054832,-4.467342810335481,116.28747537996531,35.0803,28.9518,1005.8193,False
189,2022-04-19 19:51:43.083137,-4.26219646257103,116.43308370473198,34.9914,29.1721,1005.8352,False
190,2022-04-19 19:51:47.155168,-4.054785136824735,116.58018707935014,35.0803,28.9641,1005.8018,False
191,2022-04-19 19:51:51.183116,-3.849572553250392,116.72562512772822,35.0269,29.2762,1005.8442,False
192,2022-04-19 19:51:55.246995,-3.6424796006109736,116.87229459101695,35.0447,29.0803,1005.8452,False
193,2022-04-19 19:51:59.275987,-3.437210105465392,117.0175777338837,35.0625,29.1813,1005.8401,False
194,2022-04-19 19:52:03.306778,-3.2317800416201403,117.1628853748319,34.9736,29.2976,1005.8394,False
195,2022-04-19 19:52:07.335192,-3.0264216080611326,117.30805862060662,35.0447,28.7897,1005.853,False
196,2022-04-19 19:52:11.366683,-2.820865432372054,117.4532932234712,35.0803,29.2915,1005.8438,False
197,2022-04-19 19:52:15.393564,-2.6155141224153247,117.59831011158866,35.0092,29.0681,1005.8267,False
198,2022-04-19 19:52:19.465869,-2.4078916775480006,117.74486218458844,34.9736,28.8784,1005.824,False
199,2022-04-19 19:52:23.494522,-2.2024327692131838,117.88982455100526,34.9914,29.0314,1005.8291,False
200,2022-04-19 19:52:27.523430,-1.996940714286501,118.0347534376466,34.9914,29.1201,1005.8464,False
201,2022-04-19 19:52:31.552734,-1.791405442943369,118.17966126665489,35.0803,29.0834,1005.835,False
202,2022-04-19 19:52:35.624504,-1.583684408659017,118.32606319865185,35.0625,29.1599,1005.8369,False
203,2022-04-19 19:52:39.649561,-1.3782872218426858,118.47078628254015,34.9914,29.2364,1005.801,False
204,2022-04-19 19:52:43.677290,-1.1728206169507638,118.61552283389646,35.0625,29.013,1005.8186,False
205,2022-04-19 19:52:47.703883,-0.9673388001512474,118.76023996724433,35.0269,29.2119,1005.7983,False
206,2022-04-19 19:52:51.775757,-0.7596079944425789,118.90651581581672,35.0447,28.9457,1005.8225,False
207,2022-04-19 19:52:55.804903,-0.5540027712375848,119.05127532401808,35.0269,29.4016,1005.8071,False
208,2022-04-19 19:52:59.832930,-0.34845019595394505,119.19598361947311,35.0092,29.1507,1005.8184,False
